               CO2          CH4          N2O       CFC_11       CFC_12      CFC_113      HCFC_22       HFC125      HFC134a
YEARS                                                                                                                     
1931  4.656258e-04 5.959690e-07 4.342414e-07 0.000000e+00 0.000000e+00 1.366674e-13 0.000000e+00 0.000000e+00 0.000000e+00
1932  4.660355e-04 5.984579e-07 4.343931e-07 0.000000e+00 0.000000e+00 4.845711e-13 0.000000e+00 0.000000e+00 0.000000e+00
1933  4.665060e-04 6.009469e-07 4.346208e-07 0.000000e+00 0.000000e+00 8.076509e-13 0.000000e+00 0.000000e+00 0.000000e+00
1934  4.670827e-04 6.038783e-07 4.347726e-07 0.000000e+00 0.000000e+00 1.130711e-12 2.271358e-15 0.000000e+00 0.000000e+00
1935  4.677656e-04 6.068098e-07 4.349547e-07 0.000000e+00 0.000000e+00 1.453772e-12 5.689130e-14 0.000000e+00 0.000000e+00
1936  4.689493e-04 6.094094e-07 4.351975e-07 0.000000e+00 0.000000e+00 1.776832e-12 2.365163e-13 0.000000e+00 0.000000e+00
1937  4.700875e-04 6.118983e-07 4.355010e-07 0.000000e+00 0.000000e+00 2.099892e-12 4.174414e-13 0.000000e+00 0.000000e+00
1938  4.708918e-04 6.142767e-07 4.358653e-07 0.000000e+00 0.000000e+00 2.422953e-12 5.963448e-13 0.000000e+00 0.000000e+00
1939  4.717417e-04 6.177612e-07 4.361688e-07 0.000000e+00 0.000000e+00 2.746013e-12 7.752483e-13 0.000000e+00 0.000000e+00
1940  4.725156e-04 6.195312e-07 4.365179e-07 0.000000e+00 0.000000e+00 3.069073e-12 9.541517e-13 0.000000e+00 0.000000e+00
1941  4.731986e-04 6.212458e-07 4.368821e-07 0.000000e+00 0.000000e+00 3.392134e-12 1.133055e-12 0.000000e+00 0.000000e+00
1942  4.737449e-04 6.240113e-07 4.373071e-07 0.000000e+00 0.000000e+00 3.715194e-12 1.311959e-12 0.000000e+00 0.000000e+00
1943  4.740788e-04 6.265003e-07 4.382784e-07 0.000000e+00 0.000000e+00 4.038254e-12 1.490862e-12 0.000000e+00 0.000000e+00
1944  4.741091e-04 6.284914e-07 4.386123e-07 0.000000e+00 8.102638e-14 4.361315e-12 1.669766e-12 0.000000e+00 0.000000e+00
1945  4.740636e-04 6.301508e-07 4.389614e-07 2.294600e-14 1.757364e-12 4.684375e-12 1.848699e-12 0.000000e+00 0.000000e+00
1946  4.740788e-04 6.325844e-07 4.392649e-07 3.949245e-13 6.819741e-12 5.007435e-12 2.027572e-12 0.000000e+00 0.000000e+00
1947  4.742305e-04 6.358477e-07 4.393863e-07 1.421116e-12 1.181999e-11 5.330496e-12 2.206506e-12 0.000000e+00 0.000000e+00
1948  4.742760e-04 6.391663e-07 4.394622e-07 2.368496e-12 1.678147e-11 5.653556e-12 2.385379e-12 0.000000e+00 0.000000e+00
1949  4.744430e-04 6.417659e-07 4.395229e-07 3.315875e-12 2.174295e-11 5.976616e-12 2.564313e-12 0.000000e+00 0.000000e+00
1950  4.747313e-04 6.437018e-07 4.397354e-07 4.234217e-12 2.660979e-11 6.299677e-12 2.765549e-12 0.000000e+00 0.000000e+00
1951  4.750197e-04 6.464673e-07 4.399175e-07 5.432747e-12 3.241806e-11 6.618860e-12 2.787912e-12 0.000000e+00 0.000000e+00
1952  4.755205e-04 6.495094e-07 4.401755e-07 7.361137e-12 3.937663e-11 6.973581e-12 2.743186e-12 0.000000e+00 0.000000e+00
1953  4.761123e-04 6.545426e-07 4.406308e-07 1.008675e-11 4.675048e-11 7.358669e-12 2.761822e-12 0.000000e+00 0.000000e+00
1954  4.766587e-04 6.606268e-07 4.409647e-07 1.356458e-11 5.505157e-11 7.805138e-12 2.873666e-12 0.000000e+00 0.000000e+00
1955  4.771443e-04 6.674299e-07 4.414049e-07 1.784768e-11 6.437415e-11 8.358863e-12 3.142439e-12 0.000000e+00 0.000000e+00
1956  4.775844e-04 6.753946e-07 4.419361e-07 2.321458e-11 7.507677e-11 8.969447e-12 3.536325e-12 0.000000e+00 0.000000e+00
1957  4.780245e-04 6.835252e-07 4.424217e-07 2.955539e-11 8.746379e-11 9.675657e-12 4.014892e-12 0.000000e+00 0.000000e+00
1958  4.785556e-04 6.899412e-07 4.428163e-07 3.584504e-11 1.008306e-10 1.051561e-11 4.724840e-12 0.000000e+00 0.000000e+00
1959  4.792689e-04 6.954170e-07 4.431502e-07 4.167095e-11 1.151105e-10 1.148480e-11 5.683166e-12 0.000000e+00 0.000000e+00
1960  4.804981e-04 6.991781e-07 4.435903e-07 4.849161e-11 1.317711e-10 1.257932e-11 6.707090e-12 0.000000e+00 0.000000e+00
1961  4.815301e-04 7.021648e-07 4.440760e-07 5.763856e-11 1.510833e-10 1.383474e-11 7.864894e-12 0.000000e+00 0.000000e+00
1962  4.826531e-04 7.094105e-07 4.446072e-07 6.934817e-11 1.729305e-10 1.528528e-11 9.330411e-12 0.000000e+00 0.000000e+00
1963  4.835788e-04 7.194770e-07 4.451839e-07 8.392360e-11 1.984800e-10 1.696390e-11 1.119250e-11 0.000000e+00 0.000000e+00
1964  4.846108e-04 7.286585e-07 4.457303e-07 1.014738e-10 2.284782e-10 1.886414e-11 1.342611e-11 0.000000e+00 0.000000e+00
1965  4.853544e-04 7.362360e-07 4.462766e-07 1.217856e-10 2.627875e-10 2.105061e-11 1.607477e-11 0.000000e+00 0.000000e+00
1966  4.869631e-04 7.423754e-07 4.468837e-07 1.444943e-10 3.012243e-10 2.360408e-11 1.929921e-11 0.000000e+00 0.000000e+00
1967  4.878736e-04 7.490680e-07 4.475060e-07 1.698935e-10 3.444267e-10 2.650322e-11 2.318082e-11 0.000000e+00 0.000000e+00
1968  4.892546e-04 7.586920e-07 4.481282e-07 1.986607e-10 3.929992e-10 2.982235e-11 2.797990e-11 0.000000e+00 0.000000e+00
1969  4.905597e-04 7.684266e-07 4.487505e-07 2.317432e-10 4.473253e-10 3.362283e-11 3.337146e-11 5.035046e-18 0.000000e+00
1970  4.928816e-04 7.804843e-07 4.493879e-07 2.697805e-10 5.071966e-10 3.800740e-11 3.904270e-11 3.541459e-17 0.000000e+00
1971  4.938226e-04 7.915463e-07 4.500253e-07 3.119104e-10 5.717792e-10 4.303681e-11 4.508367e-11 4.163866e-17 0.000000e+00
1972  4.967818e-04 8.016128e-07 4.506931e-07 3.584457e-10 6.414901e-10 4.880537e-11 5.173888e-11 4.300027e-17 0.000000e+00
1973  5.006669e-04 8.091350e-07 4.513609e-07 4.115084e-10 7.182054e-10 5.541454e-11 5.941980e-11 4.436601e-17 0.000000e+00
1974  5.019568e-04 8.164360e-07 4.520590e-07 4.715059e-10 8.028424e-10 6.298449e-11 6.716632e-11 4.572762e-17 0.000000e+00
1975  5.020630e-04 8.250644e-07 4.527724e-07 5.320956e-10 8.890637e-10 7.169355e-11 7.507683e-11 4.709750e-17 0.000000e+00
1976  5.031405e-04 8.346884e-07 4.535008e-07 5.908331e-10 9.714493e-10 8.164381e-11 8.407269e-11 4.846325e-17 0.000000e+00
1977  5.058874e-04 8.449761e-07 4.542749e-07 6.480074e-10 1.050625e-09 9.355181e-11 9.364999e-11 4.983313e-17 0.000000e+00
1978  5.084066e-04 8.555957e-07 4.550792e-07 7.010607e-10 1.125714e-09 1.031402e-10 1.065191e-10 5.120302e-17 0.000000e+00
1979  5.108195e-04 8.662706e-07 4.558988e-07 7.467244e-10 1.194466e-09 1.142535e-10 1.207270e-10 4.754034e-17 0.000000e+00
1980  5.140064e-04 8.766137e-07 4.567791e-07 7.867038e-10 1.259882e-09 1.303032e-10 1.328388e-10 2.284270e-17 0.000000e+00
1981  5.160704e-04 8.864589e-07 4.576745e-07 8.277253e-10 1.331761e-09 1.502683e-10 1.450967e-10 4.450673e-17 0.000000e+00
1982  5.169506e-04 8.953086e-07 4.586306e-07 8.681784e-10 1.397303e-09 1.763845e-10 1.573277e-10 5.279225e-17 0.000000e+00
